"dataHora";"discoPercent";"ramPercent";"cpuPercent"
"2023-10-19 15:17:29";33.7;73.3;1.3
"2023-10-19 15:17:30";33.7;73.3;1.5
"2023-10-19 15:17:31";33.7;73.1;2.3
"2023-10-19 15:17:32";33.7;73.0;1.5
"2023-10-19 15:17:33";33.7;73.0;1.5
"2023-10-19 15:17:34";33.7;73.0;2.0
"2023-10-19 15:17:35";33.7;72.9;2.1
"2023-10-19 15:17:36";33.7;73.0;3.5
"2023-10-19 15:17:37";33.7;73.1;3.1
"2023-10-19 15:17:38";33.7;73.0;1.3
"2023-10-19 15:17:39";33.7;73.0;3.4
"2023-10-19 15:17:40";33.7;73.0;1.9
"2023-10-19 15:17:41";33.7;73.0;2.7
"2023-10-19 15:17:42";33.7;73.0;1.8
"2023-10-19 15:17:43";33.7;73.0;1.6
"2023-10-19 15:17:44";33.7;73.0;2.8
"2023-10-19 15:17:45";33.7;73.0;1.7
"2023-10-19 15:17:46";33.7;73.0;2.0
"2023-10-19 15:17:47";33.7;73.0;2.5
"2023-10-19 15:17:48";33.7;72.9;2.0
"2023-10-19 15:17:49";33.7;73.0;1.6
"2023-10-19 15:17:50";33.7;72.9;2.5
"2023-10-19 15:17:51";33.7;72.9;3.0
"2023-10-19 15:17:52";33.7;73.3;4.6
"2023-10-19 15:17:53";33.7;73.3;1.6
"2023-10-19 15:17:54";33.7;73.4;2.8
"2023-10-19 15:17:55";33.7;73.5;3.6
"2023-10-19 15:17:56";33.7;73.9;9.6
"2023-10-19 15:17:57";33.7;74.1;5.0
"2023-10-19 15:17:58";33.7;73.7;3.5
"2023-10-19 15:17:59";33.7;73.8;2.7
"2023-10-19 15:18:00";33.7;73.7;2.4
"2023-10-19 15:18:01";33.7;73.4;3.0
"2023-10-19 15:18:02";33.7;73.4;1.7
"2023-10-19 15:18:03";33.7;73.4;4.6
"2023-10-19 15:18:04";33.7;73.5;2.9
"2023-10-19 15:18:05";33.7;73.5;2.1
"2023-10-19 15:18:06";33.7;73.5;3.8
"2023-10-19 15:18:07";33.7;73.5;4.3
"2023-10-19 15:18:08";33.7;73.4;2.5
"2023-10-19 15:18:09";33.7;73.4;3.1
"2023-10-19 15:18:10";33.7;73.4;2.1
"2023-10-19 15:18:11";33.7;73.5;3.6
"2023-10-19 15:18:12";33.7;73.4;0.6
"2023-10-19 15:18:13";33.7;73.3;1.2
"2023-10-19 15:18:14";33.7;73.3;2.1
"2023-10-19 15:18:15";33.7;73.2;1.9
"2023-10-19 15:18:16";33.7;73.2;1.9
"2023-10-19 15:18:17";33.7;73.2;2.6
"2023-10-19 15:18:18";33.7;73.1;2.6
"2023-10-19 15:18:19";33.7;73.1;1.1
"2023-10-19 15:18:20";33.7;73.0;2.1
"2023-10-19 15:18:21";33.7;73.0;1.4
"2023-10-19 15:18:22";33.7;72.9;2.5
"2023-10-19 15:18:23";33.7;72.9;2.0
"2023-10-19 15:18:24";33.7;72.9;2.2
"2023-10-19 15:18:25";33.7;72.9;2.5
"2023-10-19 15:18:26";33.7;72.9;1.2
"2023-10-19 15:18:27";33.7;72.9;2.7
"2023-10-19 15:18:28";33.7;73.0;1.6
"2023-10-19 15:18:29";33.7;72.9;3.1
"2023-10-19 15:18:30";33.7;73.2;1.7
"2023-10-19 15:18:31";33.7;73.2;1.5
"2023-10-19 15:18:32";33.7;73.2;2.9
"2023-10-19 15:18:34";33.7;73.3;2.1
"2023-10-19 15:18:35";33.7;73.2;1.2
"2023-10-19 15:18:36";33.7;73.2;2.3
"2023-10-19 15:18:37";33.7;73.3;1.4
"2023-10-19 15:18:38";33.7;73.3;1.8
"2023-10-19 15:18:39";33.7;73.4;10.3
"2023-10-19 15:18:40";33.7;73.4;4.5
"2023-10-19 15:18:41";33.7;73.4;1.8
"2023-10-19 15:18:42";33.7;73.4;2.1
"2023-10-19 15:18:43";33.7;73.4;1.8
"2023-10-19 15:18:44";33.7;73.3;0.7
"2023-10-19 15:18:45";33.7;73.4;1.9
"2023-10-19 15:18:46";33.7;73.3;1.8
"2023-10-19 15:18:47";33.7;73.3;2.8
"2023-10-19 15:18:48";33.7;73.3;1.6
"2023-10-19 15:18:49";33.7;73.3;3.4
"2023-10-19 15:18:50";33.7;73.2;2.6
"2023-10-19 15:18:51";33.7;73.2;4.3
"2023-10-19 15:18:52";33.7;73.2;3.3
"2023-10-19 15:18:53";33.7;73.2;2.0
"2023-10-19 15:18:54";33.7;73.2;2.3
"2023-10-19 15:18:55";33.7;73.5;4.8
"2023-10-19 15:18:56";33.7;73.4;3.0
"2023-10-19 15:18:57";33.7;73.4;4.7
"2023-10-19 15:18:58";33.7;73.5;2.6
"2023-10-19 15:18:59";33.7;73.5;2.2
"2023-10-19 15:19:00";33.7;73.5;3.0
"2023-10-19 15:19:01";33.7;73.4;2.5
"2023-10-19 15:19:02";33.7;73.4;3.1
"2023-10-19 15:19:03";33.7;73.1;3.2
"2023-10-19 15:19:04";33.7;73.2;3.2
"2023-10-19 15:19:05";33.7;73.2;6.0
"2023-10-19 15:19:06";33.7;73.4;3.1
"2023-10-19 15:19:07";33.7;73.5;1.2
"2023-10-19 15:19:08";33.7;73.5;3.2
"2023-10-19 15:19:09";33.7;73.3;1.6
"2023-10-19 15:19:10";33.7;73.3;3.1
"2023-10-19 15:19:11";33.7;73.3;2.9
"2023-10-19 15:19:12";33.7;73.3;3.7
"2023-10-19 15:19:13";33.7;73.3;6.6
"2023-10-19 15:19:14";33.7;73.2;4.0
"2023-10-19 15:19:15";33.7;73.2;3.9
"2023-10-19 15:19:16";33.7;73.2;2.4
"2023-10-19 15:19:17";33.7;73.1;2.4
"2023-10-19 15:19:18";33.7;73.1;5.2
"2023-10-19 15:19:19";33.7;73.1;2.5
"2023-10-19 15:19:20";33.7;73.1;2.1
"2023-10-19 15:19:21";33.7;73.1;2.4
"2023-10-19 15:19:22";33.7;73.1;4.6
